,address,balance,timestamp,Vote,Round,Project Name,Proposal State,Proposal Standing,Grant Category,Earmarks,OCEAN Granted
0,0xebDcbE0f258B7F8Ebb7d3F5E57faE8C2204a5E64,8862.4631086049,1608050320,Yes,1,APY.vision,Not Granted,Not Granted,Build & Integrate,General,0.0
1,0x5D2B315C465e133a346C960F46f5AA1ED88a3179,13840.708382944082,1608050961,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
2,0xB121b3DdaA9af45Df9878C855079F8A78eea9772,25934.1,1608042248,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
3,0x1911176664F147DCb30DA4a4AA6ef6c6849e613f,4446.742291051118,1608041433,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
4,0x45E48C0a6Fe8b759652624451C83387130C58367,20801.28827419996,1608053655,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
5,0xA41960A39265e936d73F76581475F5517f8F259D,4554.57098909636,1608041137,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
6,0xAFBA2f63810e1Be2F56e95b77fD20f62a3Aef46a,2124.793355535069,1608041027,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
7,0xa60556e3bF6424488072Fb09A20Ecb23dd6D609E,2500.0,1608068621,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
8,0xbbd33AFa85539fa65cc08A2e61a001876D2f13FE,3960.2413043068527,1608038379,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
9,0x67B69C822553FE57d8B7E354af4f540c4e8963c9,41365.77006754,1608107087,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
10,0xEa9235312333aEbFA8C8cA76c77574755b5C00ca,8343.739464227356,1608138040,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
11,0x8dB040D2A95c76805f7F24B146f273ADdbB86ed1,1082.564804613503,1608149581,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
12,0x85799fF1c86f89FE9fB07773d1d240763b6039Ce,201.6120193925808,1608577800,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
13,0x1cA48a32482eF29708e95F248E8a613f05782ED3,16149.298309948495,1608584777,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
14,0xCeaAD86848Dc118337b97eD7a0Fdba36Da6f03D4,2963.563947933436,1608237824,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
15,0xBEc2E3DcC0F554072474A24376419F5d3454b70F,4724.992161564726,1608049179,Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0
16,0xB63503dA3bfAB5626e2A91c4cD94fB59679f6876,69297.14125062613,1608159233,Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0
17,0x6217D92CdbbB56046669cd9F86a916447849fd96,456.402581666758,1608070048,Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0
18,0x3457124819696E79A3ECa0D08655B287C4F92136,3357.4908726832177,1608081376,Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0
19,0x64f1fA767dC5f050431Bd1d1d3e72Ea0aD865a06,38408.42637909669,1608164521,Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0
20,0x33f0E20f104bC092AD43E1fcA864310C4c0189E4,312.5685742710478,1608150337,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
21,0x1Daf0b27e0F54a235abb5D52D276033394Eb8F49,567.6879494588621,1608037321,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
22,0x34335050Aa618DA5F5187E7644f0b86a015E55d3,36965.25773613341,1608313806,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
23,0x24D768d1fFadea536f293354553d360c7E16a8E0,60063.990396300986,1608141318,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
24,0xc42193d87DD67c3639ED1cEF53c409c37775F7C4,15000.024704031388,1608138684,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
25,0xcC7E9b8331bea863a158589E8EBCF118C72d0683,7084.813123103328,1608037427,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
26,0xFE53E594f981e234FCc5e33d3C37943C81766485,83.66205484410322,1608346032,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
27,0x7Dc445E2B251e82bd45A4401e72Cf60b6B4a13aB,3999.05121585417,1608108352,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
28,0xf3a7ACf685c737B632Ffe4265BB9094C25cF8Ac4,536.3817845473446,1608037575,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
29,0x5F071f2CE06084811be5B2EF2e9D2773f53d32CB,7209.12155135,1608388933,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
30,0x206120ebC24119b650B58df6Fc8559C8418A9e83,488.17650323101225,1608558525,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
